Mata Uang|Nilai|Kurs Jual|Kurs Beli|Grafik
AUD|1|10.307,79|10.199,50|
BND|1|10.753,44|10.642,49|
CAD|1|11.402,26|11.284,36|
CHF|1|15.656,19|15.493,70|
CNH|1|2.268,75|2.246,14|
CNY|1|2.272,07|2.246,63|
DKK|1|2.215,55|2.193,07|
EUR|1|16.491,02|16.322,64|
GBP|1|19.577,57|19.381,34|
HKD|1|1.854,38|1.835,88|
JPY|100|12.533,10|12.406,24|
KRW|1|1207|1194|
KWD|1|47.848,45|47.356,67|
LAK|1|127|125|
MYR|1|3.454,46|3.416,01|
NOK|1|1.644,85|1.628,19|
NZD|1|9.606,63|9.505,32|
PGK|1|4.243,11|3.957,57|
PHP|1|28115|27814|
SAR|1|3.853,54|3.814,99|
SEK|1|1.584,04|1.568,04|
SGD|1|10.753,44|10.642,49|
THB|1|43889|43412|
USD|1|14.456,93|14.313,08|
VND|1|064|063|
